Corporate-Credit-Rating,Name STRING,Symbol STRING,Rating_Agency_Name STRING,Date STRING,Sector STRING,currentRatio REAL,quickRatio REAL,cashRatio REAL,daysOfSalesOutstanding REAL,netProfitMargin REAL,pretaxProfitMargin REAL,grossProfitMargin REAL,operatingProfitMargin REAL,returnOnAssets REAL,returnOnCapitalEmployed REAL,returnOnEquity REAL,assetTurnover REAL,fixedAssetTurnover REAL,debtEquityRatio REAL,debtRatio REAL,effectiveTaxRate REAL,freeCashFlowOperatingCashFlowRatio REAL,freeCashFlowPerShare REAL,cashPerShare REAL,companyEquityMultiplier REAL,ebitPerRevenue REAL,enterpriseValueMultiple REAL,operatingCashFlowPerShare REAL,operatingCashFlowSalesRatio REAL,payablesTurnover REAL,
BBB,Cooper Tire  Rubber Company,CTB,Egan-Jones Ratings Company,9/28/2015,Consumer Durables,3.082265019,2.045399224,1.166636259,45.64272574,0.071568478,0.112357593,0.207692755,0.119237068,0.087336055,0.166749452,0.217274888,1.220314542,3.738566998,1.487802885,0.598038894,0.353934401,0.39215621,2.065705466,9.014014593,2.487802885,0.112357593,3.605632937,5.267557707,0.101017155,10.91244383,
BB,Sunoco LP,SUN,Standard  Poor\s Ratings Services,11/16/2015,Energy,1.501109383,0.835343642,0.091448947,5.603513468,0.005151238,0.01362092,0.086101808,0.018792057,0.01396348,0.041399093,0.028377095,2.710703803,7.06444216,1.032236585,0.507931307,0.204053322,0.70426442,6.748909106,7.561153123,2.032236585,0.01362092,3.37106067,9.582919305,0.022777803,38.57424526,
A,SpireInc.,SR,Egan-Jones Ratings Company,6/23/2014,Public Utilities,1.347422546,0.159330423,0.150012175,0,0.051875137,0.069158983,1,0.09487925,0.016880475,0.025371834,0.050424264,0.325405886,132.1833897,1.987135399,0.665231111,0.249914695,0.202093781,1.280231884,2.174763285,2.987135399,0.069158983,14.75821632,6.33484058,0.16117103,0,
A,SpireInc.,SR,Egan-Jones Ratings Company,12/18/2015,Public Utilities,0.620871398,0.183298196,0.016163036,25.50419955,0.069267355,0.100738717,1,0.137876948,0.025878039,0.044878731,0.086997966,0.373596461,144.2627737,2.36184545,0.702544327,0.312405826,0.101116625,0.75462963,0.425925926,3.36184545,0.100738717,10.83045872,7.462962963,0.163124874,0,
A,SpireInc.,SR,Egan-Jones Ratings Company,5/28/2015,Public Utilities,0.772738886,0.2129535,0.020567195,33.2429941,0.05199115,0.0718412,1,0.102261554,0.016673236,0.027241797,0.056085919,0.320693733,176.8695652,2.363829223,0.702719748,0.276304534,-0.394779772,-1.351955307,0.516759777,3.363829223,0.0718412,15.75855827,3.424581006,0.075344149,0,
BB,SPX Corporation,SPXC,Fitch Ratings,6/15/2012,Technology,1.675127421,1.305810398,0.280835882,98.19890583,0.039680098,0.037175375,0.280748781,0.062815837,0.024432479,0.031161369,0.081084721,0.615736357,7.002153846,2.318726709,0.698679618,0.084515366,1,6.388245312,26.48567298,3.318726709,0.037175375,6.071975836,6.388245312,0.07087929,5.087970159,
BBB,SPX Corporation,SPXC,Egan-Jones Ratings Company,8/14/2013,Technology,1.275248344,0.996320824,0.318156733,93.37011363,0.044560332,0.054290681,0.287797846,0.069871958,0.030658382,0.054701183,0.097405005,0.688019603,6.813809042,2.177108434,0.685248388,0.213978914,0.478632479,1.110523533,21.14621893,3.177108434,0.054290681,4.725749235,2.320200952,0.022322564,6.792559644,
BBB,SPX Corporation,SPXC,Fitch Ratings,9/30/2015,Technology,1.194715944,0.878894319,0.154856445,77.91252254,-0.048100971,-0.118071308,0.170069214,-0.09887745,-0.037913171,-0.13298395,-0.239432542,0.788199697,7.832801822,5.315286624,0.84165406,0.058128079,1.464935065,-1.384626715,5.118699826,6.315286624,-0.118071308,-4.809762232,-0.945179584,-0.022392834,8.066139062,
BBB,SPX Corporation,SPXC,Egan-Jones Ratings Company,1/21/2015,Technology,1.37592397,1.005528294,0.265606559,82.52335261,0.084281206,0.125860499,0.288830993,0.042765457,0.06741554,0.13843394,0.218878926,0.799888177,7.036965271,2.246713241,0.691996205,0.360316392,0.20026178,0.360849057,13.00471698,3.246713241,0.125860499,5.315075538,1.801886792,0.016182669,7.267316017,
A,"Teradyne,Inc.",TER,Egan-Jones Ratings Company,11/12/2013,Capital Goods,3.028133094,2.283618428,0.718282201,40.29553908,0.115514523,0.055485096,0.56641383,0.133520971,0.062721688,0.036778987,0.083092791,0.54297664,5.188031362,0.324785627,0.245160893,0.466685178,0.600669722,0.841549074,4.867171283,1.324785627,0.055485096,10.21503835,1.401017969,0.187176149,9.847186436,
