Corporate-Credit-Rating,Name STRING,Symbol STRING,Rating_Agency_Name STRING,Date STRING,Sector STRING,currentRatio REAL,quickRatio REAL,cashRatio REAL,daysOfSalesOutstanding REAL,netProfitMargin REAL,pretaxProfitMargin REAL,grossProfitMargin REAL,operatingProfitMargin REAL,returnOnAssets REAL,returnOnCapitalEmployed REAL,returnOnEquity REAL,assetTurnover REAL,fixedAssetTurnover REAL,debtEquityRatio REAL,debtRatio REAL,effectiveTaxRate REAL,freeCashFlowOperatingCashFlowRatio REAL,freeCashFlowPerShare REAL,cashPerShare REAL,companyEquityMultiplier REAL,ebitPerRevenue REAL,enterpriseValueMultiple REAL,operatingCashFlowPerShare REAL,operatingCashFlowSalesRatio REAL,payablesTurnover REAL,
BBB,Cooper Tire  Rubber Company,CTB,Egan-Jones Ratings Company,9/28/2015,Consumer Durables,3.082265019,2.045399224,1.166636259,45.64272574,0.071568478,0.112357593,0.207692755,0.119237068,0.087336055,0.166749452,0.217274888,1.220314542,3.738566998,1.487802885,0.598038894,0.353934401,0.39215621,2.065705466,9.014014593,2.487802885,0.112357593,3.605632937,5.267557707,0.101017155,10.91244383,
BB,Sunoco LP,SUN,Standard  Poor\s Ratings Services,11/16/2015,Energy,1.501109383,0.835343642,0.091448947,5.603513468,0.005151238,0.01362092,0.086101808,0.018792057,0.01396348,0.041399093,0.028377095,2.710703803,7.06444216,1.032236585,0.507931307,0.204053322,0.70426442,6.748909106,7.561153123,2.032236585,0.01362092,3.37106067,9.582919305,0.022777803,38.57424526,
A,SpireInc.,SR,Egan-Jones Ratings Company,6/23/2014,Public Utilities,1.347422546,0.159330423,0.150012175,0,0.051875137,0.069158983,1,0.09487925,0.016880475,0.025371834,0.050424264,0.325405886,132.1833897,1.987135399,0.665231111,0.249914695,0.202093781,1.280231884,2.174763285,2.987135399,0.069158983,14.75821632,6.33484058,0.16117103,0,
BB,SPX Corporation,SPXC,Fitch Ratings,6/15/2012,Technology,1.675127421,1.305810398,0.280835882,98.19890583,0.039680098,0.037175375,0.280748781,0.062815837,0.024432479,0.031161369,0.081084721,0.615736357,7.002153846,2.318726709,0.698679618,0.084515366,1,6.388245312,26.48567298,3.318726709,0.037175375,6.071975836,6.388245312,0.07087929,5.087970159,
A,"Teradyne,Inc.",TER,Egan-Jones Ratings Company,11/12/2013,Capital Goods,3.028133094,2.283618428,0.718282201,40.29553908,0.115514523,0.055485096,0.56641383,0.133520971,0.062721688,0.036778987,0.083092791,0.54297664,5.188031362,0.324785627,0.245160893,0.466685178,0.600669722,0.841549074,4.867171283,1.324785627,0.055485096,10.21503835,1.401017969,0.187176149,9.847186436,
AA,American States Water Company,AWR,Egan-Jones Ratings Company,6/3/2015,Public Utilities,2.10948736,0.971910565,0.765313727,14.74289971,0.131084542,0.212769246,1,0.255575999,0.044299564,0.077486615,0.120477268,0.337946511,0.464157167,1.719603947,0.632299401,0.383912175,0.555625651,2.346655285,2.009596979,2.719603947,0.212769246,11.0855066,4.223446635,0.350522015,0,
CCC,"PRA Health Sciences,Inc.",PRAH,Standard  Poor\s Ratings Services,9/19/2014,Health Care,1.047961214,0.922707116,0.196264227,84.71927314,-0.024487766,-0.030074281,0.279105171,0.037397591,-0.016140103,0.021762136,-0.052809113,0.659108849,20.01269658,2.27191921,0.694368982,0.185757244,0.197185168,0.11719737,1.598414261,3.27191921,0.02606424,15.23610034,0.594351855,0.023317571,26.91069054,
CCC,Caesars Entertainment Corporation,CZR,Egan-Jones Ratings Company,4/1/2014,Consumer Services,1.489766082,1.164532954,1.094989727,0,-0.344427959,-0.520987885,0.923081416,-0.261060551,-0.119413988,-0.201258231,0.944330557,0.346702364,0.646605579,-8.908039718,1.126453588,0.347505326,7.638939671,-6.52890625,23.025,-7.908039718,-0.520987885,-18.55198804,-0.8546875,-0.012780822,1.487237407,
BBB,"Yum! Brands,Inc.",YUM,Standard  Poor\s Ratings Services,10/20/2015,Consumer Services,0.546632124,0.380505181,0.238665803,10.50019077,0.098664632,0.136360168,0.285845097,0.146585273,0.160123839,0.358331662,1.419319429,1.622910217,3.128431607,7.86388584,0.887182663,0.273642977,0.54511454,2.674311927,1.830275229,8.86388584,0.136360168,9.132008996,4.905963303,0.163220145,4.714861461,
AA,"J.B. Hunt Transport Services,Inc.",JBHT,Egan-Jones Ratings Company,4/17/2014,Transportation,0.954944293,0.89645316,0.008186203,37.15763216,0.061308559,0.099124534,1,0.103268093,0.121437722,0.262714583,0.338171094,1.980762956,2.643954372,1.78472856,0.640898573,0.381499653,0.140889456,688.9798977,596.1821727,2.78472856,0.099124534,0.857083314,4890.216179,0.102846038,19774.75979,
